Kategorie,Anzahl Loesungen,Indizes der Puzzles,Anzahl der Puzzles
"(1, 1, 0, 5)",448,"[792, 819, 840, 1005, 1053, 1092, 1136, 1141, 1536, 1540, 2645, 2900]",12
"(1, 1, 1, 4)",634,"[222, 609, 845, 1553, 2649, 3050]",6
"(1, 1, 1, 4)",604,"[20, 569, 852, 1150, 1159, 1544, 1584, 1593, 1721, 2082, 2656, 3043]",12
"(1, 1, 1, 4)",567,"[41, 217, 363, 604, 1096, 1101, 1286, 1558, 2799, 2909, 2914, 3052]",12
"(1, 1, 1, 4)",549,"[177, 342, 892, 1110, 1145, 1321, 1549, 1579, 1820, 1939, 2923, 3047]",12
"(1, 1, 1, 4)",527,"[182, 574, 885, 1105, 1154, 1279, 1314, 1588, 1944, 2086, 2790, 2918]",12
"(1, 1, 1, 4)",518,"[273, 294, 543, 558, 799, 808, 1175, 1195, 2700, 2720, 3324, 3344]",12
"(1, 1, 1, 4)",506,"[207, 630, 865, 1573, 2640, 3030]",6
"(1, 1, 1, 4)",497,"[35, 591, 874, 1130, 1137, 1566, 1605, 1610, 1716, 2060, 2642, 3021]",12
"(1, 1, 1, 4)",482,"[1, 233, 815, 1188, 1215, 1227, 1508, 1537, 1764, 2460, 2707, 3315]",12
"(1, 1, 1, 4)",441,"[203, 595, 876, 1125, 1133, 1299, 1334, 1608, 1929, 2065, 2770, 2897]",12
"(1, 1, 1, 4)",440,"[8, 13, 674, 696, 1060, 1080, 1649, 1666, 2672, 2694, 2930, 2952]",12
"(1, 1, 1, 4)",439,"[6, 255, 801, 1166, 1206, 1232, 1515, 1528, 1749, 2438, 2729, 3337]",12
"(1, 1, 1, 4)",437,"[84, 268, 330, 553, 930, 1025, 1040, 1180, 2965, 2991, 3113, 3346]",12
"(1, 1, 1, 4)",436,"[822, 836, 1067, 1089, 1635, 1640, 1657, 1661, 1728, 1743, 1955, 1977]",12
"(1, 1, 1, 4)",426,"[145, 259, 901, 936, 1028, 1230, 1263, 1511, 1995, 2443, 2994, 3126]",12
"(1, 1, 1, 4)",420,"[69, 290, 335, 541, 908, 1023, 1045, 1197, 2970, 2987, 3135, 3329]",12
"(1, 1, 1, 4)",419,"[63, 140, 965, 1032, 1171, 1201, 1256, 1523, 1990, 2183, 2996, 3341]",12
"(1, 1, 1, 4)",418,"[130, 238, 921, 956, 1049, 1210, 1254, 1532, 2016, 2464, 2974, 3106]",12
"(1, 1, 1, 4)",412,"[36, 205, 378, 626, 1118, 1122, 1308, 1575, 2777, 2892, 2894, 3035]",12
"(1, 1, 1, 4)",409,"[48, 128, 943, 1054, 1192, 1223, 1270, 1506, 2012, 2198, 2979, 3320]",12
"(1, 1, 1, 4)",385,"[199, 357, 878, 1127, 1128, 1343, 1570, 1601, 1805, 1927, 2901, 3026]",12
"(1, 1, 1, 4)",379,"[151, 166, 679, 700, 820, 829, 1644, 1664, 2665, 2685, 2939, 2959]",12
